"STOP_LOCATION_X","STOP_LOCATION_Y","AFTER_6PM"
994526,229546,TRUE
994526,229546,TRUE
992370,227955,FALSE
1000506,230331,TRUE
1000803,243384,TRUE
1005511,253851,TRUE
984267,211939,FALSE
984267,211939,FALSE
995026,219891,FALSE
994010,224717,FALSE
1000089,229769,TRUE
1002138,234877,TRUE
997239,231037,TRUE
998158,235152,FALSE
989255,219170,TRUE
986568,214237,FALSE
996703,219599,TRUE
995708,224791,FALSE
1000858,243916,TRUE
988786,202037,FALSE
985484,217851,FALSE
1000633,230184,FALSE
997904,239444,FALSE
998580,236024,FALSE
1005067,253188,FALSE
1005067,253188,FALSE
1005067,253188,FALSE
984624,206900,TRUE
998368,228659,FALSE
1000414,230242,TRUE
1000622,235883,FALSE
1000228,229638,FALSE
999167,229920,TRUE
999167,229920,TRUE
999167,229920,TRUE
982555,202957,FALSE
989057,204238,FALSE
986445,214013,FALSE
998206,234547,TRUE
998368,228659,FALSE
999181,237001,TRUE
990725,204176,FALSE
991319,203662,FALSE
991169,213646,FALSE
1002381,230885,FALSE
998237,239009,FALSE
989160,210991,FALSE
989220,223013,FALSE
1001010,226273,TRUE
994482,229688,FALSE
989566,202010,FALSE
981441,196428,FALSE
989196,212528,FALSE
989196,212528,FALSE
989196,212528,FALSE
989196,212528,FALSE
989196,212528,FALSE
989196,212528,FALSE
989196,212528,FALSE
998886,240181,FALSE
981736,196325,FALSE
988199,202689,FALSE
989255,219170,FALSE
999344,235603,FALSE
996904,234747,FALSE
984160,200890,TRUE
986304,202225,FALSE
984071,209615,TRUE
990664,213169,FALSE
1001756,231618,FALSE
991168,224928,FALSE
990844,203533,TRUE
986145,209866,FALSE
989314,218756,FALSE
995974,235039,FALSE
985126,207917,FALSE
983847,212100,FALSE
998344,228522,FALSE
1000310,241654,TRUE
1000310,241654,TRUE
1002109,246781,FALSE
1004463,253787,TRUE
987448,200636,FALSE
986247,206664,TRUE
1000024,230000,TRUE
1000993,232340,TRUE
1001654,229273,FALSE
1000395,241731,TRUE
1000395,241731,TRUE
1000395,241731,TRUE
1001469,241128,TRUE
986803,211058,TRUE
996606,223175,FALSE
990758,226482,FALSE
994018,231890,FALSE
998579,235077,TRUE
1001660,248575,FALSE
985126,207917,FALSE
985126,207917,FALSE
985126,207917,FALSE
996871,222201,FALSE
988456,207729,FALSE
997715,227481,FALSE
999688,239772,TRUE
998389,239457,FALSE
1000774,244102,FALSE
988920,208453,FALSE
999791,230527,FALSE
998556,230225,FALSE
1007445,255616,FALSE
1003373,250940,FALSE
1007566,256217,TRUE
1005689,253487,FALSE
986727,212657,FALSE
997335,231151,FALSE
1007054,253710,FALSE
1006670,254235,TRUE
1000461,239309,FALSE
985852,205007,TRUE
998657,222168,TRUE
980260,197369,TRUE
987934,214961,FALSE
987934,214961,FALSE
987934,214961,FALSE
987934,214961,FALSE
987934,214961,FALSE
987934,214961,FALSE
987934,214961,FALSE
987934,214961,FALSE
993123,217087,FALSE
996344,222808,FALSE
996344,222808,FALSE
996426,223403,FALSE
987748,200967,FALSE
991785,213512,TRUE
996551,223272,TRUE
998734,228608,TRUE
1002773,229517,FALSE
1002773,229517,TRUE
985741,207511,FALSE
982850,196483,FALSE
987360,202120,FALSE
989437,202364,TRUE
988874,207672,FALSE
994257,219133,FALSE
999274,226421,FALSE
999463,231690,TRUE
984097,200077,FALSE
998906,238843,FALSE
1002851,247338,TRUE
1002213,246799,TRUE
1006540,253991,TRUE
988891,209941,FALSE
997239,231037,TRUE
997092,230821,TRUE
999461,233625,FALSE
998452,234003,FALSE
998452,234003,TRUE
998556,230225,FALSE
987639,212445,FALSE
988264,215270,FALSE
987934,214844,FALSE
1001222,229732,TRUE
988284,200915,FALSE
989220,223013,FALSE
1001008,247148,TRUE
982775,199982,FALSE
980912,194910,FALSE
986084,200403,FALSE
986084,200403,FALSE
986084,200403,FALSE
986084,200403,FALSE
997431,239578,TRUE
997431,239578,TRUE
988786,208211,TRUE
988786,208211,TRUE
1001976,237228,TRUE
1001912,247387,TRUE
1005165,254070,FALSE
981048,196109,FALSE
983670,211715,FALSE
991275,202662,TRUE
991275,202662,TRUE
992063,228791,TRUE
998871,233774,FALSE
1000486,242962,FALSE
995054,230407,TRUE
986910,200581,FALSE
986910,200581,FALSE
987639,212445,FALSE
986819,214690,FALSE
987714,214449,FALSE
1001667,229044,TRUE
1000412,230154,FALSE
997431,239578,TRUE
987982,207804,FALSE
987982,207804,FALSE
987982,207804,FALSE
987982,207804,FALSE
988511,215874,TRUE
994526,229546,TRUE
998446,240080,TRUE
998446,240080,TRUE
998446,240080,TRUE
1006670,254235,FALSE
988183,221059,FALSE
989723,203545,FALSE
987395,214919,FALSE
987395,214919,FALSE
992063,228791,TRUE
985305,209987,FALSE
996286,222706,FALSE
997027,219045,FALSE
998446,240080,TRUE
1000461,239309,FALSE
999572,235848,FALSE
1000873,235674,FALSE
988812,222657,FALSE
998624,229117,FALSE
996898,239156,FALSE
980588,194819,FALSE
993433,219754,FALSE
991591,210258,TRUE
991591,210258,TRUE
991591,210258,TRUE
991591,210258,TRUE
988377,199329,TRUE
1000550,230489,FALSE
1000550,230489,FALSE
985541,205863,FALSE
988812,198799,TRUE
993433,219754,FALSE
996549,235417,TRUE
999502,238678,FALSE
1000885,226766,TRUE
